"Lake_ID","Date","LakeName","LabName","Country","Latitude","Longitude","Altitude_m","MaximumDepth_m","MeanDepth_m","SecchiDepth_m","SamplingDepth_m","ThermoclineDepth_m","SurfaceTemperature_C","EpilimneticTemperature_C","TP_mgL","TN_mgL","NO3NO2_mgL","NH3_mgL","PO4_ugL","Chlorophylla_ugL","Chlorophyllb_ugL","Zeaxanthin_ugL","Diadinoxanthin_ugL","Fucoxanthin_ugL","Diatoxanthin_ugL","Alloxanthin_ugL","Peridinin_ugL","Chlorophyllc2_ugL","Echinenone_ugL","Lutein_ugL","Violaxanthin_ugL","MC_YR_ugL","MC_dmRR_ugL","MC_RR_ugL","MC_dmLR_ugL","MC_LR_ugL","MC_LY_ugL","MC_LW_ugL","MC_LF_ugL","NOD_ugL","CYN_ugL","ATX_ugL"
"ES_ALBUF",2015-08-05,"Albufera de Valencia","UV-EBRO","Spain",39.34433333,-0.338916667,1,1,1,0.35,0.4,NA,29.8,29.8,0.13,0.7,0.006,0.04,93.946,91.584,4.407,12.607,0,0,0,0.928,0,0,0,0,0,0.002,0,0,0,0.053,0,0,0,0,0.2488,0
"ES_ALC",2015-09-03,"Alcantara","URS","Spain",39.73423056,-6.878894444,218,117,30.4,1.1,12,12.44,24.23,23.61,NA,0.3,0.015,0.07,54.634,11.728,0,0,0,0,0,0,0,0,0,0,0,0.195,0,0.1175,0.0171,0.3049,0,0,0,0,0,0.0436
"ES_ARC",2015-09-18,"Embalse de Arcos de la Frontera","UCA","Spain",36.75222222,-5.793888889,65,8,4,0.78,6,NA,23.6,23.6,0.02,0.6,NA,0.02,25.832,21.385,1.253,0,0.388,3.164,0,0,0,1.277,0,0,0,0.002,0,0,0.0028,0.0142,0,0,0,0,0,4e-04
"ES_AZU",2015-08-21,"Azutan","URS","Spain",39.77533611,-5.088780556,357,37,9.04,1.12,9,1.88,27.33,26.7,0.5,1.5,0.069,0.63,450.441,25.38,4.313,4.431,0,1.165,0,1.657,0,0.942,0,0,0.455,0,0,0,0,0,0,0,0,0,0,0
"ES_BAE",2015-08-13,"La Baells","URS","Spain",42.135878,1.872081,630,94,30.02,4.01,10,27.32,24.72,23.98,0.02,NA,0.126,0.02,4.308,1.229,0,0.213,0,0,0,0,0.157,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_BAX",2015-09-10,"Baxe reservoir","UDC","Spain",42.60694444,-8.616111111,122,NA,NA,2.75,9,12.95,19.88,19.38,0.09,0.7,0.192,0.17,4.762,2.071,0.599,0.265,0,0,0,0,0,0.086,0,0,0,0,0,0,0.0028,0.0086,0,0,0,0,0,0
"ES_BOA",2015-08-10,"Boadella","URS","Spain",42.348167,2.821567,161,54,16.6,2.76,13,14.55,26.03,23.9,0.03,0.1,0.011,0.02,NA,1.648,0.44,0.28,0,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_BRS",2015-08-20,"Branas","IDL-UL","Spain",43.3476,-8.260439,11,4,3.65,NA,2,2.75,18.62,17.8,0.1,1.9,0.608,0.05,14.494,0.715,1.054,1.567,0,0.401,0,0,0,0,0,1.567,0,0,0,0,0,0,0,0,0,0,0,0
"ES_BSP",2015-09-02,"Basturs petit","UBCAT","Spain",42.14402778,1.016833333,632,6,NA,6.12,5,4.72,18.94,17.63,0.03,1,0.41,0.11,5.139,0.862,0.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_BST",2015-09-02,"Basturs","UBCAT","Spain",42.14327778,1.020361111,636,12,NA,3.93,5,8.22,25.26,25.18,0.03,0.7,0.054,0.24,28.52,3.626,0.251,0,0,0.472,0,0,0,0.266,0,0,0.212,0,0,0,0,0,0,0,0,0,0,0
"ES_CAM",2015-08-22,"Laguna Camarones","UMA","Spain",36.67291944,-4.4558,3,1,NA,1,0.5,NA,30,30,0.23,9.7,NA,0.19,597.087,177.524,0,0,4.71,31.494,0,0,0,25.856,0,0,0,0,0.411,0,0,0,0,0,0,0,0,0
"ES_CAN",2015-08-22,"Laguna Canas","UMA","Spain",36.67293333,-4.455225,1,1,NA,0.5,0.5,NA,28.98,28.98,0.29,5.5,NA,NA,NA,151.82,84.286,18.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_CED",2015-09-08,"Cedillo","URS","Spain",39.66731111,-7.532625,115,50,18.6,1.2,5,8.71,25.02,22.55,0.03,0.3,0.007,0.02,NA,49.622,4.264,1.573,0,0.595,0,0.368,0,0.367,0,0,0,0.152,0.0747,1.523,0.055,1.3347,NA,NA,NA,0,0,0.1796
"ES_CON",2015-09-17,"As Conchas","UDC","Spain",41.96833333,-7.982777778,551,NA,NA,1.5,4,NA,17.72,17.52,0.08,0.5,0.036,NA,NA,20.695,0.515,1.214,0.348,0.615,0,0.356,0.282,0.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_COS",2015-08-22,"Laguna Costera","UMA","Spain",36.67110278,-4.452469444,2,1,0.5,0.5,0.2,NA,30.54,30.54,NA,5,0.097,1.12,1044.228,1.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_CUB",2015-07-29,"Embalse del Cubillas","UGR","Spain",37.2787,-3.675683333,646,12,NA,0.57,2.8,5.73,26.2,25.8,0.05,2.5,1.12,0.05,NA,4.216,0.991,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_DNS",2015-08-20,"Doninos","IDL-PT","Spain",43.491886,-8.312181,6,11,5.1,1.43,7,6.47,21.4,20.58,0.02,2,NA,0.06,NA,2.911,0.287,0.093,0,0,0,0.086,0,0.08,0,0,0,0,0,0.0149,0.0028,0.0041,0,0,0,0,0,0
"ES_ESC",2015-08-22,"Laguna Escondida","UMA","Spain",36.67493611,-4.460111111,2,1,NA,0.5,0.3,NA,29.05,29.05,0.14,2.6,NA,0.02,154.228,NA,NA,NA,NA,3.852,0,0,0,1.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_ESC2",2015-07-24,"Embalse de Escalona","UVCAV","Spain",39.12833333,-0.698611111,112,25,NA,4.4,11,10.74,30.24,23.87,NA,NA,NA,NA,NA,0.833,0,0.24,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES_EUC",2015-08-22,"Laguna Eucaliptal","UMA","Spain",36.671994,-4.452602,1,1,0.5,0.5,0.1,NA,29.41,29.41,0.15,5.1,0.088,0.26,738.184,447.93,0,81.011,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"ES_FOI",2015-08-14,"El Foix","URS","Spain",41.255951,1.6490111,102,10,5.5,0.46,7.5,5.97,29.93,26.29,0.27,1.8,NA,1.24,253.601,82.706,1.629,1.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_FOR",2015-09-09,"As Forcadas Reservoir","UDC","Spain",43.61222222,-8.085833333,227,NA,NA,2.25,7,NA,18.79,18.78,0.07,0.6,0.043,0.03,NA,12.55,1.02,0.33,0.133,0.765,0,0.14,0,0.389,0,0,0,0.003,0,0.0701,0.0207,0.6187,0,0.0522,0,0.0075,0,0
"ES_GRA",2015-08-22,"Laguna Grande","UMA","Spain",36.67131,-4.45601,1,1,0.5,0.5,0.2,NA,28.81,28.81,0.26,1.8,0.011,0.15,171.26,932.883,434.286,89.806,0,0,0,0,0,0,0,0,8.686,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"ES_GRA2",2015-07-23,"Laguna Grande de Villafranca","UVCAV","Spain",39.44975,-3.338555556,643,1,0.8,1,5,NA,26.5,26.38,0.03,2.9,0.959,0.02,34.427,1.794,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0
"ES_HON",2015-07-23,"Laguna Honda","UGR","Spain",36.75555,-2.9464,13,3,1.1,0.2,1.8,1.75,31.8,31.23,0.08,3.9,0.025,0.32,28.182,103.453,38.876,1.591,8.302,0,0,4.407,1.383,0,0,0,4.712,0.018,0,0,0,0.1301,0,0,0,0,0.0017,0
"ES_MEQ",2015-08-03,"Mequinenza Reservoir","UV-EBRO","Spain",41.37067,0.2675556,119,60,20,4.3,12,10.48,27.7,26.35,0.04,2.1,1.242,0.02,24.251,3.154,0.756,0.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_MNT",2015-09-03,"Montcortes","UBCAT","Spain",42.331207,0.994539,1020,26,NA,7.96,5,8.41,22.85,22.8,0.08,0.8,0.02,0.06,NA,9.891,0.183,0.532,0.968,0.199,0,0.298,1.893,1.527,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
"ES_RIB",2015-08-04,"Ribarroja Reservoir","UV-EBRO","Spain",41.24938889,0.429194444,70,34,10.3,3.5,9,7.5,25.4,25.07,0.03,2.2,1.419,0.04,25.743,9.634,2.359,1.096,0,0,0,0.209,0,0.217,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0
"ES_RIO",2015-08-22,"Laguna Rio Viejo","UMA","Spain",36.67361944,-4.455016667,14,1,0.5,0.5,0.2,NA,26.21,26.21,0.82,5.3,0.075,0.95,1285.624,197.926,111.781,10.501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_SAU",2015-08-11,"Sau","URS","Spain",41.97005,2.410655556,362,75,26.4,1.47,20,20.06,27.99,22.54,NA,0.8,0.23,0.22,7.894,3.387,1.009,0.402,0,0.333,0,0,0,0.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_SBD",2015-08-20,"Sobrado","IDL-UL","Spain",43.037611,-8.009558,514,5,1.53,0.59,2,1.82,20.2,19.63,0.04,NA,NA,NA,8.547,20.254,1.999,1.289,2.794,0,0,0.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_SOB",2015-07-29,"Sobron Resrbvoir","UV-EBRO","Spain",42.76691944,-3.102138889,511,33,7,2.3,6,5.49,23.07,22.78,0.08,0.2,0.247,0.03,5.362,12.166,0.694,0.913,0,1.142,0,0.852,0,0.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_SUR",2015-08-22,"Laguna Sur","UMA","Spain",36.67098889,-4.452725,1,1,0.5,0.5,0.1,NA,28.8,28.8,0.2,4.9,NA,0.9,1022.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_TOU",2015-07-24,"Embalse de Tous","UVCAV","Spain",39.13372222,-0.647388889,136,30,NA,5.3,13.25,15.69,28.94,25.15,0.02,1.6,0.756,NA,28.596,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES_VAL",2015-09-07,"Valdecanas","URS","Spain",39.77873333,-5.6054,317,80,19.81,1.1,14,NA,25.24,24.34,0.03,1.3,0.763,0.02,7.775,58.93,0,0.894,0,0,0,0.599,0,0.312,0,0,0,0.007,0,0.1143,0.0125,0.3204,0,0,0,0.0071,0.0014,0.2832
"ES_VALL",2015-08-12,"Vallfornes","URS","Spain",41.72095,2.341644444,519,59,20.2,0.96,10,9.25,24.61,21.73,0.04,0.2,0.04,0.02,NA,13.591,0,0.294,0,0,0,0.251,0,0.135,0,0,0,0,1.8139,0,0,0,0,0,0,0,0,0
"ES_YEG",2015-07-21,"Laguna de las Yeguas","UGR","Spain",37.05641667,-3.379533333,2886,11,NA,10.5,10,8.73,14.8,14.47,0.07,0.5,0.059,0.02,NA,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI_HAR",2015-08-13,"Harkmerifjarden","ABO","Finland",62.18833333,21.43888889,0,2,NA,0.6,0.7,NA,19.3,19.23,0.02,0.4,0.017,0.02,NA,8.804,1.49,0.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FI_JJ",2015-08-13,"Jyvasjarvi","JYRASKYLA","Finland",62.23918889,25.77259167,NA,25,5.8,1.8,5,9.38,20.6,20.09,0.05,0.8,0.021,NA,4.446,5.249,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0.0169,0.0035,0.0052,0,0,0,0,0,0
"FI_KAK",2015-08-05,"Kakskerranjarvi","ABO","Finland",60.355,22.20833333,7,15,6.38,3.1,10,10.8,19.5,18.17,0.12,0.2,0.019,NA,5.041,2.928,0.283,0,0,0.124,0,0,0,0,0,0,0,0,0.0764,0,0.0024,0,0,0,0,0,0,0
"FI_LIT",2015-08-05,"Littoistenjarvi","ABO","Finland",60.45138889,22.39527778,36,3,2.03,0.7,2,NA,19.6,19.5,0.03,0.4,0.011,NA,NA,60.352,2.763,7.89,1.427,0.749,0,1.117,0,0,0,0,0,0.002,0,0.3288,0.0975,0.1839,0,0,0,0,0,0
"FI_MJ",2015-08-20,"Muuratjarvi","JYRASKYLA","Finland",62.12474444,25.56038889,NA,38,NA,3.8,6,9.35,19.6,18.95,0.08,0.6,0.095,0.02,3.368,1.36,0,0,0,0,0,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"FI_STO",2015-08-13,"Stortrasket","ABO","Finland",62.31777778,21.38027778,7,2,NA,0.9,1.5,NA,19.8,19.75,0.03,0.3,0.01,NA,NA,2.369,0.288,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0
"FI_VAN",2015-08-31,"Vanajanselka","LAMMI","Finland",61.14888889,24.27369444,74,24,7.3,2,5,12.49,18.4,18.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,0,0.1509,0.015,0.0452,0,0,0,0,0,0
"FR_AYD",2015-09-03,"Aydat","LMGE","FR",45.66388889,2.984444444,837,15,NA,2,7,7.11,19.7,18.85,NA,NA,0.017,NA,3.918,8.196,2.509,0.924,0,0,0,0,0,0,0,0,0,0,0,0.0205,0.0027,0.0123,0,0,0,0,0,0
"FR_PAV",2015-09-02,"Pavin","LMGE","FR",45.49583333,2.888333333,1197,92,NA,7.3,18,8.43,18,12.18,0.13,NA,0.011,NA,10.24,0.818,0.135,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0,0,0
"GR_MAR",2015-10-05,"Marathonas","DIMOKRITOS","Greece",38.17156667,23.90511111,227,54,20,4.5,26,26.55,21.71,20.45,0.05,0.8,0.118,0.18,NA,25.042,0,3.202,1.711,0,0,0.4,0,0,0,0,0,0.024,0,0.0228,0.0017,0.0384,0,0,0,0,0,0
"GR_PRE",2015-09-18,"Lesser Prespa","SPP","Greece",40.76368056,21.09733889,853,9,4.2,2.2,6.8,1.76,25.8,22.95,0.06,1.5,NA,0.02,4.488,9.095,0,0.554,0,0,0,0,0,0,0,0,0,0.031,0,0.228,0.0081,0.1285,0,0,0,0,0,0
"GR_VOL",2015-09-16,"Volvi","AUTH","Greece",40.66705556,23.54194444,37,28,13.5,0.117,13,11.47,26,24.43,0.12,0.9,0.026,0.02,19.236,6.529,0.428,0.377,0,0,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR_BAJ",2015-08-27,"Bajer","ALGEZG","Croatia",45.30633333,14.71333333,717,7,3.5,3,6.5,NA,16.7,13.37,0.02,0.6,1.095,0.08,7.746,0.876,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR_BUT",2015-07-21,"Butoniga","ALGEZG","Croatia",45.33186111,13.92322222,43,15,10.5,3.8,9,NA,29.16,23.57,0.04,NA,0.032,0.06,52.168,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR_KOP",2015-07-23,"Kopacko","HROS","Croatia",45.605,18.85555556,16,5,2,0.17,5.3,NA,34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HR_KOZ",2015-07-23,"Kozjak","ALGEZG","Croatia",44.88997222,15.60408333,535,48,15.5,7.5,14,NA,24.9,19.75,0.07,NA,0.364,0.02,NA,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR_LES",2015-07-12,"Lesce","ALGEZG","Croatia",45.34781,15.34382,186,52,NA,5,12,NA,27.9,22.94,NA,0.9,0.651,0.06,NA,1.119,0.719,0.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR_LOK",2015-08-20,"Lokve","ALGERI","Croatia",45.35977778,14.71708333,768,40,NA,7,20,NA,22.3,20.02,NA,0.1,0.312,0.04,NA,1.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0.0286,0,0,0,0,0,0
"HR_MAL",2015-08-24,"Malo Jezero","ALGEZG","Croatia",45.77836111,15.93516667,112,13,5,4,4,NA,25.9,25.68,NA,0.6,0.945,0.1,NA,0.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR_NJI",2015-08-27,"Njivice","ALGEZG","Croatia",45.16963889,14.56338889,2,9,3,5.5,8,NA,26.3,25.04,0.06,0.1,0.029,0.03,NA,7.522,0.637,1.122,0,0,0,0,0,0.163,0,0,0,0,0,0,0,0.0167,0,0,0,0,0,0
"HR_PET",2015-07-31,"Peto Jezero","ALGEZG","Croatia",45.83161111,16.02616667,142,7,4,0.5,5,NA,24.6,23.48,0.05,0.5,0.18,0.1,NA,9.541,0.874,0.874,0.445,0.21,0,0.163,1.486,1.288,0,0,0,0.162,0.0611,1.1152,0.0289,0.6565,0,0,0,0,0,0
"HR_PON",2015-08-27,"Ponikve","ALGEZG","Croatia",45.07794444,14.55833333,17,6,2.4,2,4,NA,28,26.68,0.06,0.8,0.027,0.05,NA,3.906,0.768,0.29,0.171,0,0,0.187,0,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR_PRO",2015-07-23,"Prosce","ALGEZG","Croatia",44.86791667,15.59783333,636,39,11.24,5.5,12,NA,21.7,16.93,NA,NA,0.389,0.03,NA,1.28,0,0,0,0.331,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HR_SAK",2015-07-23,"Sakadas","HROS","Croatia",45.6,18.8475,91,12,5.5,0.56,5.3,3.27,33,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HR_SAV",2015-08-21,"Savica","ALGEZG","Croatia",45.769,16.03244444,115,4,4,1.5,3.5,NA,24.8,24.58,0.03,0.5,0.055,0.07,7.805,10.357,3.541,1.787,0,0.902,0,0.302,0,0.613,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0
"HR_TRI",2015-08-20,"Tribali","ALGERI","Croatia",45.22761111,14.67061111,60,8,4,0.5,4,NA,24.3,24.3,NA,0.2,0.402,0.08,NA,3.67,1.048,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0.0126,0.3606,0,0,0,0,0,0
"HR_VRA",2015-08-28,"Vransko","ALGEZG","Croatia",44.84002778,14.39241667,13,75,50,10.5,15,NA,25.9,23.47,0.05,0.3,0.018,0.03,NA,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HU_PAT",2015-08-07,"Patkai Reservoir","VIZIG","Hungary",47.267605,18.48562,123,NA,NA,0.3,2,0.75,27.5,24.9,0.09,1.9,NA,0.12,12.389,89.916,2.554,11.047,0,0,0,1.381,2.086,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"HU_VEL",2015-08-07,"Velencei","VIZIG","Hungary",47.20636111,18.61386111,NA,2,1.6,0.5,1.5,1.25,27.8,27.38,NA,1.3,NA,0.03,29.167,3.85,0.549,0.295,0.241,0.546,0,0,0,0.215,0,0,0,0.357,0,0.0178,0.0364,1.0537,0,0,0,0,0,0
"HU_ZAM",2015-08-07,"Zamolyi","VIZIG","Hungary",47.30188889,18.46486111,129,NA,NA,0.41,2,1.07,27.4,25.2,0.06,1.2,NA,0.02,11.85,101.459,9.68,2.806,0,0.806,0.654,1.194,0,0.602,0,0,5.806,0.032,0,0.035,0.0028,0.0492,0,0,0,0,0,0
"IE_COL",2015-08-24,"Colgagh Lough","DUNDALK","Ireland",54.275,-8.396388889,24,24,10.5,3,19.3,0.25,16.4,14.23,0.18,0.5,0.106,0.02,8.466,NA,NA,NA,NA,0.105,0,0,0.123,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IE_CORD",2015-08-25,"Corduff","DUNDALK","Ireland",54.06388889,-7.738888889,64,5,2.5,0.58,4,0.25,15.2,14.36,NA,1.1,0.025,0.14,65.127,1.305,0.291,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IE_MILL",2015-08-27,"Milltown","DUNDALK","Ireland",54.14583333,-6.712222222,NA,NA,NA,0.64,9,NA,14.8,14.59,0.03,0.9,0.377,0.19,48.576,2.541,0.642,0.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IE_TEMP",2015-08-25,"Templehouse","DUNDALK","Ireland",54.09972222,-8.589444444,51,5,2.6,0.78,7,0.25,14.6,14.1,0.02,0.7,0.218,0.07,21.368,1.014,0.119,0.244,0,0.215,0,0,0,0.063,0,0,0,0,0,0,0.0028,0,0,0,0,0,0,0
"IT_CAL",2015-08-17,"Caldonazzo","FEM-NORITAL","Italy",46.01416667,11.25138889,450,49,26.5,7.4,20,8.13,24.9,16.19,0.02,NA,0.119,NA,6.087,1.269,0.155,0.144,0,0,0,0,0,0.044,0,0,0,0,0.0577,0,0.0034,0,0,0,0,0,0,0
"IT_CAMPO",2015-07-22,"Campo","FEM","Italy",46.03991667,10.49677778,1943,27,13.7,11.4,10,6.3,17.75,12.26,0.08,NA,0.062,NA,5.026,1.479,0,0,0,0.292,0,0.05,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IT_GAR",2015-08-11,"Garda","FEM-NORITAL","Italy",45.6975,10.72083333,65,350,133,7,30,23.45,24.04,20.03,0.02,NA,0.121,0.02,4.58,2.33,0.35,0.296,0,0,0,0,0,0.054,0,0,0,0,0.2255,0,0.0019,0,0,0,0,0,0,0.549
"IT_ISE",2015-09-07,"Iseo","FEM-NORITAL","Italy",45.68722222,10.06722222,186,251,123,6.2,30,18.45,21.16,16.27,0.02,0.3,0.437,0.02,11.408,1.4,0.34,0.165,0,0,0,0,0,0,0,0,0,0.002,0.0312,0,0.0021,0,0,0,0,0,0,0.0085
"IT_LEV",2015-08-03,"Levico","FEM-NORITAL","Italy",46.0175,11.27388889,440,38,11.1,5,20,7.29,25.37,14.83,0.05,NA,0.235,0.04,5.398,2.664,0,0,0,0.159,0,0.062,0,0.143,0,0,0,0.046,0.0251,0,0.2076,0,0,0,0,0,0,3e-04
"IT_SER",2015-07-28,"Serraia","FEM-NORITAL","Italy",46.13666667,11.25555556,974,16,6.5,1.5,5,3.41,23.76,20.53,NA,NA,0.007,0.08,NA,4.096,0.521,0.267,0,0,0,0.153,0,0.103,0,0,0,0.002,0,0,0.0028,0.0133,0,0,0,0,0,0
"IT_TOVEL",2015-08-04,"Tovel","FEM","Italy",46.26127778,10.94947222,1178,39,19,7.9,20,1.46,18.48,9.98,0.11,0.8,0.242,NA,5.524,1.429,0.075,0.341,0,0.298,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LT_BAL",2015-08-25,"Balsys","NRC","Lithouania",54.79094444,25.33197222,114,39,15.2,5.2,8,6.75,21.5,19.36,NA,0.4,NA,0.02,NA,1.688,0,0.163,0,0,0,0,0.191,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LT_DID",2015-08-14,"Didziulis","NRC","Lithouania",54.330439,24.368417,101,18,6.5,0.5,7.5,6.56,23.3,19.43,NA,0.8,NA,0.04,NA,65.37,2.33,0.902,0,0,0,0.815,0.94,0.923,0,0,0,0.025,2.4094,0,0.1235,0.01,0,0,0,0,0.064,2.708
"LT_GAU",2015-08-04,"Gaustvinis","NRC","Lithouania",55.65575,23.20038889,115,5,2.5,0.48,2,0.25,22,20.44,0.02,1.6,NA,0.02,6.953,81.649,3.423,0.916,1.2,0.874,0,1.17,4.027,4.079,0,0,0,0.014,0,0.2252,0.0122,0.1002,0,0,0,0,0,0.0043
"LT_GIN",2015-08-12,"Gineitiskes","NRC","Lithouania",54.73747222,25.18572222,159,3,1.5,0.51,1.7,1.75,25.4,24.85,0.06,0.9,0.007,0.02,5.33,102.289,4.806,3.596,1.162,3.801,0,0.863,0.999,2.546,0,0,0,0.038,0,0.4241,0.1716,0.3984,0,0,0,0,0.0294,0
"LT_GUL",2015-08-07,"Gulbinas","NRC","Lithouania",54.79386111,25.30755556,134,12,4.2,0.7,5.5,4.55,24.2,19.35,0.05,1,0.008,0.68,NA,36.874,2.245,0.641,0,0,0,0,0.719,0.637,0,0,0,0.015,2.8047,0,0.208,0,0,0,0,0,0,0
"LT_JIE",2015-08-17,"Jieznas","NRC","Lithouania",54.59152778,24.18508333,94,4,2.9,0.45,2.8,2.75,22.2,21.83,0.05,1.1,NA,0.03,4.073,103.899,4.542,2.835,0,1.684,0,0,0,1.674,0,0,0,0.055,0,0.6232,0.0436,0.2533,0,0,0,0,0.0336,1.3333
"LT_LUK",2015-08-01,"Lukstas","NRC","Lithouania",55.71286111,22.335,155,7,3.6,0.84,4,NA,16.8,17.17,0.05,0.6,NA,0.02,NA,34.594,1.749,2.748,0,1.34,0,0.39,0,0.321,0,0,0,0.058,0.3418,0.7915,0.0714,0.3318,0,0,0,0,0.0094,0.0154
"LT_MAS",2015-08-01,"Mastis","NRC","Lithouania",55.97755556,22.24886111,126,5,2.6,0.45,3,NA,17.6,17.83,0.16,0.7,0.018,0.19,32.338,112.696,5.406,2.354,0,3.97,0,0.619,0,1.361,0,0,0,0.041,0.1663,0.8026,0.0669,0.3715,0,0,0,0,0,0
"LT_NIE",2015-08-24,"Niedulis","NRC","Lithouania",54.39172222,24.36605556,132,7,3.7,0.95,6,4.7,20.8,19.78,0.03,1.2,NA,0.29,NA,35.013,2.437,1.236,0,0.492,0,0,0,0.319,0,0,0,0.12,5.181,0.0721,0.2691,0.0347,0,0,0,0,0.2976,0.0338
"LT_PAB",2015-08-24,"Pabezninkai","NRC","Lithouania",54.34941667,24.571,135,3,1.9,1,1.2,NA,21.2,21.2,0.07,1,NA,0.03,NA,35.669,0,0,1.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LT_REK",2015-08-03,"Rekyva","NRC","Lithouania",55.86075,23.31230556,126,5,2,0.43,2,0.25,19.9,18.82,0.05,0.6,NA,0.03,NA,92.959,0,13.651,14.295,1.618,0,1.198,0,1.037,0,0,0,0.017,0,0,0.0028,0.0466,0,0,0,0,0,0
"LT_SIM",2015-08-11,"Simnas","NRC","Lithouania",54.39433333,23.643,88,5,2.2,0.4,2.5,1.81,24.8,23.93,0.02,0.8,NA,0.02,5.357,132.097,2.953,3.996,0,0,0,5.691,0,2.485,0,0,0,0.093,0.1088,1.6451,0.0225,0.5492,0,0,0,0,0,0.1
"LT_SIR",2015-08-18,"Sitvys","NRC","Lithouania",54.98566667,25.21661111,130,5,2.2,0.7,4,3.75,20.8,20.08,0.13,0.8,NA,0.02,NA,53.623,1.03,1.627,1.99,0,0,0,3.993,2.207,0,0,0,0.143,3.5201,0,0.5038,0.0233,0,0,0,0,0.3796,0.29
