"Lake_ID","Date","LakeName","LabName","Country","Latitude","Longitude","Altitude_m","MaximumDepth_m","MeanDepth_m","SecchiDepth_m","SamplingDepth_m","ThermoclineDepth_m","SurfaceTemperature_C","EpilimneticTemperature_C","TP_mgL","TN_mgL","NO3NO2_mgL","NH3_mgL","PO4_ugL","Chlorophylla_ugL","Chlorophyllb_ugL","Zeaxanthin_ugL","Diadinoxanthin_ugL","Fucoxanthin_ugL","Diatoxanthin_ugL","Alloxanthin_ugL","Peridinin_ugL","Chlorophyllc2_ugL","Echinenone_ugL","Lutein_ugL","Violaxanthin_ugL","MC_YR_ugL","MC_dmRR_ugL","MC_RR_ugL","MC_dmLR_ugL","MC_LR_ugL","MC_LY_ugL","MC_LW_ugL","MC_LF_ugL","NOD_ugL","CYN_ugL","ATX_ugL"
"DE_STAD",2015-09-11,"Stadtsee","IGB","Germany",52.868262,13.837662,NA,NA,NA,0.85,8,7.67,17.5,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE_STE",2015-08-11,"Stechlinsee","IGB","Germany",53.154031,13.026104,60,68,22.8,8.5,14,9.34,21.96,16.69,0.06,NA,NA,0.02,NA,0.692,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058,0,0,0,0,0,0,0
"DE_STOLP",2015-08-31,"Stolpsee","IGB","Germany",53.17497,13.2085,NA,NA,NA,0.6,6.5,0.75,22.5,20.48,0.05,NA,0.008,NA,37.051,106.212,5.485,7.705,0,0,0,0.677,1.676,1.08,0,0,0,0,0.2123,0,0.0121,0,0,0,0,0,0.1993,0.0887
"DE_TIWAR",2015-08-20,"Tiwarensee","IGB","Germany",53.527362,12.691713,NA,NA,NA,2.2,15,9.33,21.97,16.61,0.07,4.4,0.016,0.13,22.293,0.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE_WANKA",2015-08-24,"Wanzkaersee","IGB","Germany",53.40845,13.249775,NA,NA,NA,0.92,12,7.72,20.83,13.59,NA,3.2,1.137,0.2,17.117,0.84,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0.1274,0.0114,0.061,0,0,0,0,0.0062,0.0109
"DE_WENDO",2015-09-01,"Grosser Wentowsee","IGB","Germany",53.05308,13.2531111,48,4,2.8,0.4,2,1.73,23.52,22.68,0.04,NA,0.024,0.04,NA,59.959,3.682,8.618,0,0,0,0.549,0,1.036,0,0,0,0,0,0,0,0,0,0,0,0,0.0143,0
"DE_WITTWE",2015-09-03,"Wittwesee","IGB","Germany",53.12653,12.9364167,NA,NA,NA,2.62,12,7.47,21.11,19.77,0.05,0.4,0.005,0.03,4.336,1.256,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.0093,0,0,0,0,0.0036,0
"DE_WURIS",2015-09-11,"Wurlsee","IGB","Germany",53.22131,13.2936111,NA,NA,NA,1.45,8,7.67,17.5,17.4,0.05,2.2,3.492,0.32,17.333,1.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"DK_BAG",2015-08-26,"Bagsvaerd ","TWP-UOC","Denmark",55.77266667,12.45663889,19,4,2,0.6,2.5,NA,19.2,19.17,0.03,0.3,NA,0.03,5.668,61.24,8.043,14.914,0,3.741,0,0.87,1.238,1.378,0,0,1.344,0.059,0,0.1365,0.0095,0.1327,0,0,0,0,0.0054,0.002
"DK_BAS",2015-08-25,"Bastrup ","TWP-UOC","Denmark",55.81802778,12.2695,29,7,3.5,1.8,5.5,2.75,20.5,20.08,0.04,0.5,NA,NA,21.29,16.437,1.108,0.371,0.553,0.74,0,0.352,1.915,1.569,0,0,0,0.009,0,0.0301,0.0023,0.0186,0,0,0,0,0,0.0026
